Name,Who,What,When,Where,Definition_of_Success_Technical,Definition_of_Success_Business,Target_Goal,Production,Category,Path,Allowed_Tools,Version,License,Author
chainstack-install-auth,"Backend developers, DevOps engineers, Full-stack developers",Install and configure Chainstack SDK/CLI authentication,"chainstack install auth, install and configure chainstack sdk/cli authentication",Claude Code skill; Chainstack SDK; local/cloud development,Working Chainstack integration; Tests passing; Documentation updated,Faster Chainstack integration; Reduced errors; Team productivity,Complete Chainstack install auth in under 15 minutes,true,onboarding,plugins/saas-packs/skill-databases/chainstack/chainstack-install-auth.md,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Eugene Aseev <ea@chainstack.com>
chainstack-hello-world,"Backend developers, DevOps engineers, Full-stack developers",Create a minimal working Chainstack example,"chainstack hello world, create a minimal working chainstack example",Claude Code skill; Chainstack SDK; local/cloud development,Working Chainstack integration; Tests passing; Documentation updated,Faster Chainstack integration; Reduced errors; Team productivity,Complete Chainstack hello world in under 15 minutes,true,onboarding,plugins/saas-packs/skill-databases/chainstack/chainstack-hello-world.md,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Eugene Aseev <ea@chainstack.com>
chainstack-local-dev-loop,"Backend developers, DevOps engineers, Full-stack developers",Configure Chainstack local development workflow,"chainstack local dev loop, configure chainstack local development workflow",Claude Code skill; Chainstack SDK; local/cloud development,Working Chainstack integration; Tests passing; Documentation updated,Faster Chainstack integration; Reduced errors; Team productivity,Complete Chainstack local dev loop in under 15 minutes,true,onboarding,plugins/saas-packs/skill-databases/chainstack/chainstack-local-dev-loop.md,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Eugene Aseev <ea@chainstack.com>
chainstack-sdk-patterns,"Backend developers, DevOps engineers, Full-stack developers",Apply production-ready Chainstack SDK patterns,"chainstack sdk patterns, apply production-ready chainstack sdk patterns",Claude Code skill; Chainstack SDK; local/cloud development,Working Chainstack integration; Tests passing; Documentation updated,Faster Chainstack integration; Reduced errors; Team productivity,Complete Chainstack sdk patterns in under 15 minutes,true,onboarding,plugins/saas-packs/skill-databases/chainstack/chainstack-sdk-patterns.md,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Eugene Aseev <ea@chainstack.com>
chainstack-primary-workflow,"Backend developers, DevOps engineers, Full-stack developers",Execute Chainstack primary workflow,"chainstack primary workflow, execute chainstack primary workflow",Claude Code skill; Chainstack SDK; local/cloud development,Working Chainstack integration; Tests passing; Documentation updated,Faster Chainstack integration; Reduced errors; Team productivity,Complete Chainstack primary workflow in under 15 minutes,true,onboarding,plugins/saas-packs/skill-databases/chainstack/chainstack-primary-workflow.md,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Eugene Aseev <ea@chainstack.com>
chainstack-core-feature,"Backend developers, DevOps engineers, Full-stack developers",Implement Chainstack core feature integration,"chainstack core feature, implement chainstack core feature integration",Claude Code skill; Chainstack SDK; local/cloud development,Working Chainstack integration; Tests passing; Documentation updated,Faster Chainstack integration; Reduced errors; Team productivity,Complete Chainstack core feature in under 15 minutes,true,onboarding,plugins/saas-packs/skill-databases/chainstack/chainstack-core-feature.md,"Read, Write, Edit, Bash(npm:*), Bash(pip:*), Grep",1.0.0,MIT,Eugene Aseev <ea@chainstack.com>
chainstack-common-errors,"Backend developers, DevOps engineers, Full-stack developers",Diagnose and fix Chainstack common errors,"chainstack common errors, diagnose and fix chainstack common errors",Claude Code skill; Chainstack SDK; local/cloud development,Working Chainstack integration; Tests passing; Documentation updated,Faster Chainstack integration; Reduced errors; Team productivity,Complete Chainstack common errors in under 15 minutes,true,operations,plugins/saas-packs/skill-databases/chainstack/chainstack-common-errors.md,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Eugene Aseev <ea@chainstack.com>
chainstack-debug-bundle,"Backend developers, DevOps engineers, Full-stack developers",Collect Chainstack debug evidence for support,"chainstack debug bundle, collect chainstack debug evidence for support",Claude Code skill; Chainstack SDK; local/cloud development,Working Chainstack integration; Tests passing; Documentation updated,Faster Chainstack integration; Reduced errors; Team productivity,Complete Chainstack debug bundle in under 15 minutes,true,operations,plugins/saas-packs/skill-databases/chainstack/chainstack-debug-bundle.md,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Eugene Aseev <ea@chainstack.com>
chainstack-rate-limits,"Backend developers, DevOps engineers, Full-stack developers",Implement Chainstack rate limiting and backoff,"chainstack rate limits, implement chainstack rate limiting and backoff",Claude Code skill; Chainstack SDK; local/cloud development,Working Chainstack integration; Tests passing; Documentation updated,Faster Chainstack integration; Reduced errors; Team productivity,Complete Chainstack rate limits in under 15 minutes,true,operations,plugins/saas-packs/skill-databases/chainstack/chainstack-rate-limits.md,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Eugene Aseev <ea@chainstack.com>
chainstack-security-basics,"Backend developers, DevOps engineers, Full-stack developers",Apply Chainstack security best practices,"chainstack security basics, apply chainstack security best practices",Claude Code skill; Chainstack SDK; local/cloud development,Working Chainstack integration; Tests passing; Documentation updated,Faster Chainstack integration; Reduced errors; Team productivity,Complete Chainstack security basics in under 15 minutes,true,operations,plugins/saas-packs/skill-databases/chainstack/chainstack-security-basics.md,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Eugene Aseev <ea@chainstack.com>
chainstack-prod-checklist,"Backend developers, DevOps engineers, Full-stack developers",Execute Chainstack production deployment checklist,"chainstack prod checklist, execute chainstack production deployment checklist",Claude Code skill; Chainstack SDK; local/cloud development,Working Chainstack integration; Tests passing; Documentation updated,Faster Chainstack integration; Reduced errors; Team productivity,Complete Chainstack prod checklist in under 15 minutes,true,operations,plugins/saas-packs/skill-databases/chainstack/chainstack-prod-checklist.md,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Eugene Aseev <ea@chainstack.com>
chainstack-upgrade-migration,"Backend developers, DevOps engineers, Full-stack developers",Plan and execute Chainstack SDK upgrades,"chainstack upgrade migration, plan and execute chainstack sdk upgrades",Claude Code skill; Chainstack SDK; local/cloud development,Working Chainstack integration; Tests passing; Documentation updated,Faster Chainstack integration; Reduced errors; Team productivity,Complete Chainstack upgrade migration in under 15 minutes,true,operations,plugins/saas-packs/skill-databases/chainstack/chainstack-upgrade-migration.md,"Read, Grep, Bash(curl:*)",1.0.0,MIT,Eugene Aseev <ea@chainstack.com>
chainstack-ci-integration,"Backend developers, DevOps engineers, Full-stack developers",Configure Chainstack CI/CD integration,"chainstack ci integration, configure chainstack ci/cd integration",Claude Code skill; Chainstack SDK; local/cloud development,Working Chainstack integration; Tests passing; Documentation updated,Faster Chainstack integration; Reduced errors; Team productivity,Complete Chainstack ci integration in under 15 minutes,true,cicd,plugins/saas-packs/skill-databases/chainstack/chainstack-ci-integration.md,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Eugene Aseev <ea@chainstack.com>
chainstack-deploy-pipeline,"Backend developers, DevOps engineers, Full-stack developers",Deploy Chainstack integrations to production,"chainstack deploy pipeline, deploy chainstack integrations to production",Claude Code skill; Chainstack SDK; local/cloud development,Working Chainstack integration; Tests passing; Documentation updated,Faster Chainstack integration; Reduced errors; Team productivity,Complete Chainstack deploy pipeline in under 15 minutes,true,cicd,plugins/saas-packs/skill-databases/chainstack/chainstack-deploy-pipeline.md,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Eugene Aseev <ea@chainstack.com>
chainstack-webhooks-events,"Backend developers, DevOps engineers, Full-stack developers",Implement Chainstack webhook handling,"chainstack webhooks events, implement chainstack webhook handling",Claude Code skill; Chainstack SDK; local/cloud development,Working Chainstack integration; Tests passing; Documentation updated,Faster Chainstack integration; Reduced errors; Team productivity,Complete Chainstack webhooks events in under 15 minutes,true,cicd,plugins/saas-packs/skill-databases/chainstack/chainstack-webhooks-events.md,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Eugene Aseev <ea@chainstack.com>
chainstack-performance-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize Chainstack API performance,"chainstack performance tuning, optimize chainstack api performance",Claude Code skill; Chainstack SDK; local/cloud development,Working Chainstack integration; Tests passing; Documentation updated,Faster Chainstack integration; Reduced errors; Team productivity,Complete Chainstack performance tuning in under 15 minutes,true,cicd,plugins/saas-packs/skill-databases/chainstack/chainstack-performance-tuning.md,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Eugene Aseev <ea@chainstack.com>
chainstack-cost-tuning,"Backend developers, DevOps engineers, Full-stack developers",Optimize Chainstack costs and usage,"chainstack cost tuning, optimize chainstack costs and usage",Claude Code skill; Chainstack SDK; local/cloud development,Working Chainstack integration; Tests passing; Documentation updated,Faster Chainstack integration; Reduced errors; Team productivity,Complete Chainstack cost tuning in under 15 minutes,true,cicd,plugins/saas-packs/skill-databases/chainstack/chainstack-cost-tuning.md,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Eugene Aseev <ea@chainstack.com>
chainstack-reference-architecture,"Backend developers, DevOps engineers, Full-stack developers",Implement Chainstack reference architecture,"chainstack reference architecture, implement chainstack reference architecture",Claude Code skill; Chainstack SDK; local/cloud development,Working Chainstack integration; Tests passing; Documentation updated,Faster Chainstack integration; Reduced errors; Team productivity,Complete Chainstack reference architecture in under 15 minutes,true,cicd,plugins/saas-packs/skill-databases/chainstack/chainstack-reference-architecture.md,"Read, Write, Edit, Bash(gh:*), Bash(curl:*)",1.0.0,MIT,Eugene Aseev <ea@chainstack.com>
